iter	Passed	Remaining
494	604	616
495	605	615
496	606	613
497	607	612
498	608	610
499	609	609
500	610	607
501	611	606
502	614	606
503	615	605
504	616	604
505	617	603
506	618	601
507	619	600
508	620	598
509	621	597
510	622	595
511	623	594
512	624	593
513	625	591
514	627	590
515	628	589
516	630	588
517	631	587
518	632	586
519	633	584
520	634	583
521	635	581
522	636	580
523	637	579
524	638	577
525	639	576
526	640	574
527	641	573
528	644	573
529	645	572
530	646	571
531	647	570
532	648	568
533	649	567
534	650	565
535	651	564
536	652	562
537	653	561
538	655	560
539	656	558
540	658	558
541	660	557
542	661	556
543	662	555
544	663	554
545	664	552
546	665	551
547	667	550
548	668	548
549	669	547
550	669	545
551	670	544
552	672	543
553	674	543
554	676	542
555	677	541
556	678	539
557	679	538
558	680	536
559	681	535
560	682	534
561	684	533
562	685	532
563	687	531
564	689	530
565	690	529
566	691	528
567	693	527
568	694	525
569	695	524
570	696	523
571	698	522
572	699	521
573	700	519
574	702	519
575	703	518
576	705	516
577	706	515
578	707	514
579	708	513
580	710	512
581	711	510
582	712	509
583	713	508
584	714	506
585	715	505
586	716	503
587	719	503
588	720	502
589	721	501
590	722	500
591	723	498
592	724	497
593	726	496
594	727	494
595	728	493
596	729	492
597	729	490
598	731	489
599	733	488
600	734	487
601	735	486
602	737	485
603	739	484
604	740	483
605	741	481
606	742	480
607	743	479
608	744	477
609	745	476
610	746	475
611	748	474
612	749	473
613	751	472
614	752	471
615	753	469
616	754	468
617	755	467
618	756	465
619	757	464
620	758	463
621	759	461
622	760	460
623	761	459
624	764	458
625	765	457
626	767	456
627	768	455
628	769	453
629	770	452
630	771	451
631	772	450
632	773	448
633	774	447
634	775	445
635	777	444
636	779	444
637	780	442
638	781	441
639	783	440
640	784	439
641	785	437
642	786	436
643	787	435
644	788	433
645	789	432
646	790	431
647	791	430
648	792	428
649	795	428
650	796	426
651	797	425
652	798	424
653	799	423
654	801	422
655	802	420
656	803	419
657	804	418
658	805	416
659	806	415
660	807	414
661	810	413
662	812	412
663	813	411
664	815	410
665	816	409
666	817	407
667	818	406
668	819	405
669	820	403
670	821	402
671	822	401
672	823	399
673	825	399
674	826	397
675	827	396
676	829	395
677	830	394
678	830	392
679	831	391
680	832	390
681	833	388
682	835	387
683	836	386
684	837	384
685	838	383
686	841	383
687	842	381
688	843	380
689	844	379
690	845	378
691	846	376
692	847	375
693	848	374
694	849	372
695	850	371
696	851	370
697	852	369
698	853	367
699	856	367
700	857	365
701	858	364
702	859	363
703	860	361
704	861	360
705	862	359
706	863	357
707	864	356
708	865	355
709	867	354
710	868	352
711	869	351
712	871	350
713	872	349
714	874	348
715	875	347
716	876	345
717	877	344
718	878	343
719	879	342
720	880	340
721	881	339
722	882	338
723	883	336
724	884	335
725	887	334
726	888	333
727	889	332
728	890	331
729	891	329
730	892	328
731	893	327
732	894	326
733	895	324
734	896	323
735	897	322
736	899	320
737	900	319
738	902	318
739	903	317
740	904	316
741	905	314
742	906	313
743	907	312
744	908	310
745	909	309
746	910	308
747	911	307
748	912	305
749	913	304
750	914	303
751	917	302
752	918	301
753	919	300
754	920	298
755	921	297
756	922	296
757	924	295
758	925	293
759	926	292
760	928	291
761	929	290
762	934	290
763	938	289
764	940	289
765	943	288
766	945	287
767	951	287
768	953	286
769	955	285
770	957	284
771	959	283
772	960	281
773	961	280
774	967	280
775	970	280
776	974	279
777	984	281
778	986	279
779	995	280
780	998	279
781	1000	278
782	1001	277
783	1002	276
784	1007	275
785	1008	274
786	1010	273
787	1012	272
788	1013	271
789	1015	269
790	1016	268
791	1017	267
792	1018	265
793	1019	264
794	1021	263
795	1023	262
796	1024	260
797	1025	259
798	1027	258
799	1027	256
800	1028	255
801	1029	254
802	1031	252
803	1032	251
804	1033	250
805	1034	248
806	1035	247
807	1037	246
808	1038	245
809	1039	243
810	1040	242
811	1041	241
812	1042	239
813	1043	238
814	1044	237
815	1045	235
816	1046	234
817	1047	233
818	1049	231
819	1052	231
820	1054	229
821	1056	228
822	1057	227
823	1058	226
824	1059	224
825	1060	223
826	1060	221
827	1061	220
828	1063	219
829	1064	217
830	1065	216
831	1066	215
832	1067	214
833	1069	212
834	1070	211
835	1071	210
836	1072	208
837	1073	207
838	1074	206
839	1075	204
840	1076	203
841	1077	202
842	1079	201
843	1080	199
844	1081	198
845	1083	197
846	1084	195
847	1085	194
848	1086	193
849	1087	191
850	1088	190
851	1089	189
852	1090	187
853	1091	186
854	1092	185
855	1093	184
856	1094	182
857	1095	181
858	1096	180
859	1098	178
860	1099	177
861	1100	176
862	1101	174
863	1102	173
864	1104	172
865	1105	171
866	1106	169
867	1107	168
868	1108	167
869	1109	165
870	1110	164
871	1111	163
872	1113	161
873	1114	160
874	1115	159
875	1116	158
876	1117	156
877	1118	155
878	1119	154
879	1120	152
880	1121	151
881	1122	150
882	1123	148
883	1124	147
884	1125	146
885	1126	144
886	1128	143
887	1129	142
888	1130	141
889	1131	139
890	1132	138
891	1133	137
892	1134	135
893	1135	134
894	1136	133
895	1137	132
896	1138	130
897	1139	129
898	1140	128
899	1141	126
900	1142	125
901	1143	124
902	1145	123
903	1146	121
904	1147	120
905	1148	119
906	1149	117
907	1150	116
908	1151	115
909	1152	113
910	1153	112
911	1154	111
912	1154	110
913	1155	108
914	1156	107
915	1157	106
916	1159	104
917	1160	103
918	1161	102
919	1162	101
920	1163	99
921	1164	98
922	1165	97
923	1166	95
924	1167	94
925	1168	93
926	1169	92
927	1170	90
928	1171	89
929	1172	88
930	1173	86
931	1175	85
932	1176	84
933	1177	83
934	1178	81
935	1179	80
936	1180	79
937	1181	78
938	1182	76
939	1183	75
940	1184	74
941	1185	73
942	1186	71
943	1187	70
944	1188	69
945	1190	67
946	1191	66
947	1192	65
948	1193	64
949	1195	62
950	1196	61
951	1197	60
952	1198	59
953	1199	57
954	1200	56
955	1201	55
956	1202	54
957	1203	52
958	1204	51
959	1206	50
960	1207	49
961	1208	47
962	1209	46
963	1210	45
964	1211	43
965	1212	42
966	1213	41
967	1214	40
968	1215	38
969	1216	37
970	1217	36
971	1218	35
972	1219	33
973	1220	32
974	1222	31
975	1223	30
976	1224	28
977	1225	27
978	1226	26
979	1227	25
980	1228	23
981	1229	22
982	1230	21
983	1231	20
984	1232	18
985	1233	17
986	1234	16
987	1235	15
988	1237	13
989	1238	12
990	1239	11
991	1240	10
992	1242	8
993	1243	7
994	1244	6
995	1245	5
996	1246	3
997	1247	2
998	1247	1
999	1248	0
