,country,name,title,woman_title,Woman Candidate Master (WCM),Candidate Master (CM),Woman FIDE Master (WFM),FIDE Master (FM),Woman International Master (WIM),International Master (IM),Woman Grandmaster (WGM),Grandmaster (GM)
96,FIN,"Kanko, Ilkka",FM,,,,,,,,,
97,USA,"Kavnatsky, Valentin",FM,,,,,,,,,
98,RUS,"Kleiman, Mark",FM,,,,,,,,,
99,RUS,"Klochko, Robert",FM,,,,,,,,,
100,BUL,"Kolarov, Atanas S.",IM,,,,,,,1957.0,,
101,RUS,"Kossov, Aleksandr S.",FM,,,,,,,,,
102,GER,"Lieb, Harald",FM,,,,,,,,,
103,CRO,"Maroja, Hrvoje",FM,,,,,,,,,
104,RUS,"Mosionzhik, Ilya",FM,,,,,,,,,
105,BUL,"Orev, Petar",IM,,,,,,,1987.0,,
106,SRB,"Rakic, Tomislav",IM,,,,,,,1978.0,,
107,GER,"Scheipl, Ralf",FM,,,,,,,,,
108,VEN,"Schorr Blank, Leon",CM,,,2014.0,,,,,,
109,RUS,"Shaiter, Viktor S.",FM,,,,,2008.0,,,,
110,HUN,"Somogyi, Istvan",FM,,,,,,,,,
111,GER,"Starck, Bodo",FM,,,,,,,,,
112,UKR,"Statsenko, Valentin V",FM,,,,,2005.0,,,,
113,RUS,"Udov, Mikhail",FM,,,,,,,,,
114,GER,"Walkewitz, Hubert",CM,,,2008.0,,,,,,
115,RUS,"Zhelesny, Stanislav",FM,,,,,,,,,
116,IND,"Aaron, Manuel",IM,,,,,,,1961.0,,
117,RUS,"Arkhipov, Leonid",FM,,,,,,,,,
118,RUS,"Barshevich, Veniamin",FM,,,,,,,,,
119,GER,"Baumbach, Friedrich, Dr.",FM,,,,,1985.0,,,,
120,GER,"Besser, Hans",FM,,,,,,,,,
121,GER,"Bialas, Wolfram",FM,,,,,,,,,
122,SRB,"Bjelica, Dimitrije",FM,,,,,,,,,
123,ROU,"Botez, Constantin",FM,,,,,,,,,
124,RUS,"Bykova, Evgeniya",WFM,WFM,,,,,,,,
125,GER,"Cohn, Irina",WFM,WFM,,,,,,,,
126,HUN,"Csapo, Zoltan",FM,,,,,,,,,
127,GER,"Dornieden, Manfred, Dr.",FM,,,,,,,,,
128,GER,"Eising, Johannes",FM,,,,,,,,,
129,HUN,"Filep, Tibor",FM,,,,,,,,,
130,GER,"Fischer, Johann",FM,,,,,,,,,
131,RUS,"Frumson, Yury",FM,,,,,,,,,
132,ESP,"Garcia Conesa, Gregorio",FM,,,,,1985.0,,,,
133,RUS,"Gumerov, Renant",FM,,,,,,,,,
134,DEN,"Hvenekilde, Jorgen",FM,,,,,2009.0,,,,
135,GER,"Igney, Volkhard",FM,,,,,,,,,
136,SUI,"Karl, Hans",FM,,,,,1985.0,,,,
137,RUS,"Khachaturian, Georgiy N.",FM,,,,,2008.0,,,,
138,RUS,"Nikitin, Aleksander S",IM,,,,,,,,,
