,event,site,date_played,white,black,result,white_elo,black_elo,winner,loser
547,Santa Monica,Santa Monica,1966-01-01,"Fischer, Robert James","Larsen, Bent",0-1,,,"Larsen, Bent","Fischer, Robert James"
548,Santa Monica,Santa Monica,1966-01-01,"Najdorf, Miguel","Fischer, Robert James",1-0,,,"Najdorf, Miguel","Fischer, Robert James"
549,Santa Monica,Santa Monica,1966-01-01,"Spassky, Boris V","Fischer, Robert James",1-0,,,"Spassky, Boris V","Fischer, Robert James"
550,Santa Monica,Santa Monica,1966-01-01,"Fischer, Robert James","Petrosian, Tigran V",1/2-1/2,,,draw,draw
551,Santa Monica,Santa Monica,1966-01-01,"Fischer, Robert James","Reshevsky, Samuel Herman",1-0,,,"Fischer, Robert James","Reshevsky, Samuel Herman"
552,Santa Monica,Santa Monica,1966-01-01,"Portisch, Lajos","Fischer, Robert James",0-1,,,"Fischer, Robert James","Portisch, Lajos"
553,Santa Monica,Santa Monica,1966-01-01,"Fischer, Robert James","Ivkov, Borislav",1-0,,,"Fischer, Robert James","Ivkov, Borislav"
554,Santa Monica,Santa Monica,1966-01-01,"Donner, Jan Hein","Fischer, Robert James",0-1,,,"Fischer, Robert James","Donner, Jan Hein"
555,Santa Monica,Santa Monica,1966-01-01,"Fischer, Robert James","Unzicker, Wolfgang",1/2-1/2,,,draw,draw
556,Santa Monica,Santa Monica,1966-01-01,"Larsen, Bent","Fischer, Robert James",0-1,,,"Fischer, Robert James","Larsen, Bent"
557,Santa Monica,Santa Monica,1966-01-01,"Fischer, Robert James","Najdorf, Miguel",1-0,,,"Fischer, Robert James","Najdorf, Miguel"
558,Santa Monica,Santa Monica,1966-01-01,"Fischer, Robert James","Spassky, Boris V",1/2-1/2,,,draw,draw
559,Santa Monica,Santa Monica,1966-01-01,"Petrosian, Tigran V","Fischer, Robert James",1/2-1/2,,,draw,draw
560,Davoa sim,Davoa,1967-01-01,"Fischer, Robert James",Pascual,1-0,,,"Fischer, Robert James",Pascual
561,Meralco,Meralco,1967-01-01,"Fischer, Robert James","Naranja, Renato",1-0,,,"Fischer, Robert James","Naranja, Renato"
562,Meralco,Meralco,1967-01-01,"Balinas, Rosendo Carrean","Fischer, Robert James",1/2-1/2,,,draw,draw
563,Meralco,Meralco,1967-01-01,"Bandal, R.","Fischer, Robert James",0-1,,,"Fischer, Robert James","Bandal, R."
564,Meralco,Meralco,1967-01-01,"Fischer, Robert James","Badilles, Glicerio",1-0,,,"Fischer, Robert James","Badilles, Glicerio"
565,Meralco,Meralco,1967-01-01,"Fischer, Robert James","Lontoc, Ramon",1-0,,,"Fischer, Robert James","Lontoc, Ramon"
566,Meralco,Meralco,1967-01-01,"Fischer, Robert James","Rodriguez, Ruben",1-0,,,"Fischer, Robert James","Rodriguez, Ruben"
567,Meralco,Meralco,1967-01-01,"Fischer, Robert James","Vister, M.",1-0,,,"Fischer, Robert James","Vister, M."
568,Meralco,Meralco,1967-01-01,"Reyes, Romuel","Fischer, Robert James",0-1,,,"Fischer, Robert James","Reyes, Romuel"
569,Monte Carlo,Monte Carlo,1967-01-01,"Lombardy, William James","Fischer, Robert James",0-1,,,"Fischer, Robert James","Lombardy, William James"
570,Monte Carlo,Monte Carlo,1967-01-01,"Fischer, Robert James","Forintos, Gyozo V",1-0,,,"Fischer, Robert James","Forintos, Gyozo V"
571,Monte Carlo,Monte Carlo,1967-01-01,"Mazzoni, Guy","Fischer, Robert James",0-1,,,"Fischer, Robert James","Mazzoni, Guy"
572,Monte Carlo,Monte Carlo,1967-01-01,"Fischer, Robert James","Bergraser, Volf",1-0,,,"Fischer, Robert James","Bergraser, Volf"
573,Monte Carlo,Monte Carlo,1967-01-01,"Larsen, Bent","Fischer, Robert James",0-1,,,"Fischer, Robert James","Larsen, Bent"
574,Monte Carlo,Monte Carlo,1967-01-01,"Fischer, Robert James","Smyslov, Vassily",1/2-1/2,,,draw,draw
575,Monte Carlo,Monte Carlo,1967-01-01,"Matanovic, Aleksandar","Fischer, Robert James",1/2-1/2,,,draw,draw
576,Monte Carlo,Monte Carlo,1967-01-01,"Gligoric, Svetozar","Fischer, Robert James",0-1,,,"Fischer, Robert James","Gligoric, Svetozar"
577,Monte Carlo,Monte Carlo,1967-01-01,"Fischer, Robert James","Geller, Efim P",0-1,,,"Geller, Efim P","Fischer, Robert James"
578,Skopje,Skopje,1967-01-01,"Ilievski, Borce","Fischer, Robert James",1/2-1/2,,,draw,draw
579,Skopje,Skopje,1967-01-01,"Fischer, Robert James","Geller, Efim P",0-1,,,"Geller, Efim P","Fischer, Robert James"
580,Skopje,Skopje,1967-01-01,"Damjanovic, Mato","Fischer, Robert James",0-1,,,"Fischer, Robert James","Damjanovic, Mato"
581,Skopje,Skopje,1967-01-01,"Fischer, Robert James","Dely, Peter",1-0,,,"Fischer, Robert James","Dely, Peter"
582,Skopje,Skopje,1967-01-01,"Minic, Dragoljub","Fischer, Robert James",0-1,,,"Fischer, Robert James","Minic, Dragoljub"
583,Skopje,Skopje,1967-01-01,"Fischer, Robert James","Panov, Vladimir",1-0,,,"Fischer, Robert James","Panov, Vladimir"
584,Skopje,Skopje,1967-01-01,"Maric, Rudolf","Fischer, Robert James",0-1,,,"Fischer, Robert James","Maric, Rudolf"
585,Skopje,Skopje,1967-01-01,"Danov, Kiril","Fischer, Robert James",0-1,,,"Fischer, Robert James","Danov, Kiril"
586,Skopje,Skopje,1967-01-01,"Fischer, Robert James","Bukic, Enver",1-0,,,"Fischer, Robert James","Bukic, Enver"
587,Skopje,Skopje,1967-01-01,"Knezevic, Milorad","Fischer, Robert James",1/2-1/2,,,draw,draw
588,Skopje,Skopje,1967-01-01,"Fischer, Robert James","Popov, Luben",1/2-1/2,,,draw,draw
589,Skopje,Skopje,1967-01-01,"Janosevic, Dragoljub","Fischer, Robert James",1-0,,,"Janosevic, Dragoljub","Fischer, Robert James"
590,Skopje,Skopje,1967-01-01,"Fischer, Robert James","Matulovic, Milan",1-0,,,"Fischer, Robert James","Matulovic, Milan"
591,Skopje,Skopje,1967-01-01,"Nicevski, Risto","Fischer, Robert James",0-1,,,"Fischer, Robert James","Nicevski, Risto"
592,Skopje,Skopje,1967-01-01,"Fischer, Robert James","Soos, Bela",1-0,,,"Fischer, Robert James","Soos, Bela"
593,Skopje,Skopje,1967-01-01,"Kholmov, Ratmir D","Fischer, Robert James",0-1,,,"Fischer, Robert James","Kholmov, Ratmir D"
594,Skopje,Skopje,1967-01-01,"Fischer, Robert James","Sofrevski, Jovan",1-0,,,"Fischer, Robert James","Sofrevski, Jovan"
595,Sousse Interzonal+,Sousse,1967-01-01,"Fischer, Robert James","Barczay, Laszlo",1-0,,,"Fischer, Robert James","Barczay, Laszlo"
596,Sousse Interzonal+,Sousse,1967-01-01,"Portisch, Lajos","Fischer, Robert James",1/2-1/2,,,draw,draw
597,Sousse Interzonal+,Sousse,1967-01-01,"Fischer, Robert James","Myagmarsuren, Lhamsuren",1-0,,,"Fischer, Robert James","Myagmarsuren, Lhamsuren"
598,Sousse Interzonal+,Sousse,1967-01-01,"Cuellar Gacharna, Miguel","Fischer, Robert James",0-1,,,"Fischer, Robert James","Cuellar Gacharna, Miguel"
599,Sousse Interzonal+,Sousse,1967-01-01,"Fischer, Robert James","Sarapu, Ortvin",1-0,,,"Fischer, Robert James","Sarapu, Ortvin"
600,Sousse Interzonal+,Sousse,1967-01-01,"Kavalek, Lubomir","Fischer, Robert James",1/2-1/2,,,draw,draw
601,Sousse Interzonal+,Sousse,1967-01-01,"Fischer, Robert James","Stein, Leonid",1-0,,,"Fischer, Robert James","Stein, Leonid"
602,Sousse Interzonal+,Sousse,1967-01-01,"Kortschnoj, Viktor","Fischer, Robert James",1/2-1/2,,,draw,draw
603,Sousse Interzonal+,Sousse,1967-01-01,"Fischer, Robert James","Reshevsky, Samuel Herman",1-0,,,"Fischer, Robert James","Reshevsky, Samuel Herman"
604,Sousse Interzonal+,Sousse,1967-01-01,"Byrne, Robert E","Fischer, Robert James",0-1,,,"Fischer, Robert James","Byrne, Robert E"
605,Athens sim,Athens,1968-01-01,"Fischer, Robert James","Ornithopoulos, Nikolaos",1-0,,,"Fischer, Robert James","Ornithopoulos, Nikolaos"
606,Athens sim,Athens,1968-01-01,"Fischer, Robert James","Trikaliotis, Georgios",1/2-1/2,,,draw,draw
607,Athens sim,Athens,1968-01-01,"Kokkoris, L.","Fischer, Robert James",0-1,,,"Fischer, Robert James","Kokkoris, L."
608,Athens sim,Athens,1968-01-01,"Vizantiadis, Lazaros","Fischer, Robert James",0-1,,,"Fischer, Robert James","Vizantiadis, Lazaros"
609,Athens sim,Athens,1968-01-01,"Fischer, Robert James","Anastassopulos, A.",1-0,,,"Fischer, Robert James","Anastassopulos, A."
610,Netanya-A,Netanya,1968-01-01,"Fischer, Robert James","Hamann, Svend",1-0,,,"Fischer, Robert James","Hamann, Svend"
611,Netanya-A,Netanya,1968-01-01,"Kraidman, Yair","Fischer, Robert James",1/2-1/2,,,draw,draw
612,Netanya-A,Netanya,1968-01-01,"Fischer, Robert James","Czerniak, Moshe",1-0,,,"Fischer, Robert James","Czerniak, Moshe"
613,Netanya-A,Netanya,1968-01-01,"Troianescu, Octavio","Fischer, Robert James",0-1,,,"Fischer, Robert James","Troianescu, Octavio"
614,Netanya-A,Netanya,1968-01-01,"Fischer, Robert James","Kagan, Shimon",1-0,,,"Fischer, Robert James","Kagan, Shimon"
615,Netanya-A,Netanya,1968-01-01,"Porath, Yosef","Fischer, Robert James",1/2-1/2,,,draw,draw
616,Netanya-A,Netanya,1968-01-01,"Fischer, Robert James","Ree, Hans",1-0,,,"Fischer, Robert James","Ree, Hans"
617,Netanya-A,Netanya,1968-01-01,"Bernstein, Yaacov","Fischer, Robert James",0-1,,,"Fischer, Robert James","Bernstein, Yaacov"
618,Netanya-A,Netanya,1968-01-01,"Fischer, Robert James","Domnitz, Zadok",1-0,,,"Fischer, Robert James","Domnitz, Zadok"
619,Netanya-A,Netanya,1968-01-01,"Ciocaltea, Victor","Fischer, Robert James",0-1,,,"Fischer, Robert James","Ciocaltea, Victor"
620,Netanya-A,Netanya,1968-01-01,"Fischer, Robert James","Geller, Uzi",1-0,,,"Fischer, Robert James","Geller, Uzi"
621,Netanya-A,Netanya,1968-01-01,"Fischer, Robert James","Yanofsky, Daniel Abraham",1/2-1/2,,,draw,draw
622,Netanya-A,Netanya,1968-01-01,"Aloni, Izak","Fischer, Robert James",0-1,,,"Fischer, Robert James","Aloni, Izak"
623,Vinkovci,Vinkovci,1968-01-01,"Fischer, Robert James","Wade, Robert Graham",1-0,,,"Fischer, Robert James","Wade, Robert Graham"
624,Vinkovci,Vinkovci,1968-01-01,"Fischer, Robert James","Jovanovac, I.",1-0,,,"Fischer, Robert James","Jovanovac, I."
625,Vinkovci,Vinkovci,1968-01-01,"Matulovic, Milan","Fischer, Robert James",0-1,,,"Fischer, Robert James","Matulovic, Milan"
626,Vinkovci,Vinkovci,1968-01-01,"Fischer, Robert James","Hort, Vlastimil",1/2-1/2,,,draw,draw
627,Vinkovci,Vinkovci,1968-01-01,"Ivkov, Borislav","Fischer, Robert James",0-1,,,"Fischer, Robert James","Ivkov, Borislav"
628,Vinkovci,Vinkovci,1968-01-01,"Fischer, Robert James","Minic, Dragoljub",1-0,,,"Fischer, Robert James","Minic, Dragoljub"
629,Vinkovci,Vinkovci,1968-01-01,"Matov, M.","Fischer, Robert James",0-1,,,"Fischer, Robert James","Matov, M."
630,Vinkovci,Vinkovci,1968-01-01,"Fischer, Robert James","Matanovic, Aleksandar",1-0,,,"Fischer, Robert James","Matanovic, Aleksandar"
631,Vinkovci,Vinkovci,1968-01-01,"Nikolic, Emil","Fischer, Robert James",0-1,,,"Fischer, Robert James","Nikolic, Emil"
632,Vinkovci,Vinkovci,1968-01-01,"Fischer, Robert James","Robatsch, Karl",1/2-1/2,,,draw,draw
633,Vinkovci,Vinkovci,1968-01-01,"Byrne, Donald","Fischer, Robert James",1/2-1/2,,,draw,draw
634,Vinkovci,Vinkovci,1968-01-01,"Fischer, Robert James","Gheorghiu, Florin",1/2-1/2,,,draw,draw
635,Vinkovci,Vinkovci,1968-01-01,"Bertok, Mario","Fischer, Robert James",0-1,,,"Fischer, Robert James","Bertok, Mario"
636,USA-chT,New York,1969-01-01,"Saidy, Anthony Fred","Fischer, Robert James",0-1,,,"Fischer, Robert James","Saidy, Anthony Fred"
637,Belgrade URS-World,Belgrade,1970-01-01,"Fischer, Robert James","Petrosian, Tigran V",1-0,,,"Fischer, Robert James","Petrosian, Tigran V"
638,Belgrade URS-World,Belgrade,1970-01-01,"Petrosian, Tigran V","Fischer, Robert James",0-1,,,"Fischer, Robert James","Petrosian, Tigran V"
639,Belgrade URS-World,Belgrade,1970-01-01,"Fischer, Robert James","Petrosian, Tigran V",1/2-1/2,,,draw,draw
640,Belgrade URS-World,Belgrade,1970-01-01,"Petrosian, Tigran V","Fischer, Robert James",1/2-1/2,,,draw,draw
641,Buenos Aires,Buenos Aires,1970-01-01,"Fischer, Robert James","Tukmakov, Vladimir B",1-0,,,"Fischer, Robert James","Tukmakov, Vladimir B"
642,Buenos Aires,Buenos Aires,1970-01-01,"Damjanovic, Mato","Fischer, Robert James",0-1,,,"Fischer, Robert James","Damjanovic, Mato"
643,Buenos Aires,Buenos Aires,1970-01-01,"Fischer, Robert James","Gheorghiu, Florin",1-0,,,"Fischer, Robert James","Gheorghiu, Florin"
644,Buenos Aires,Buenos Aires,1970-01-01,"Fischer, Robert James","Schweber, Samuel",1-0,,,"Fischer, Robert James","Schweber, Samuel"
645,Buenos Aires,Buenos Aires,1970-01-01,"Quinteros, Miguel A","Fischer, Robert James",0-1,,,"Fischer, Robert James","Quinteros, Miguel A"
646,Buenos Aires,Buenos Aires,1970-01-01,"Fischer, Robert James","O'Kelly de Galway, Alberic",1-0,,,"Fischer, Robert James","O'Kelly de Galway, Alberic"
647,Buenos Aires,Buenos Aires,1970-01-01,"Najdorf, Miguel","Fischer, Robert James",1/2-1/2,,,draw,draw
648,Buenos Aires,Buenos Aires,1970-01-01,"Fischer, Robert James","Panno, Oscar",1-0,,,"Fischer, Robert James","Panno, Oscar"
649,Buenos Aires,Buenos Aires,1970-01-01,"Agdamus, Jose Luis","Fischer, Robert James",0-1,,,"Fischer, Robert James","Agdamus, Jose Luis"
650,Buenos Aires,Buenos Aires,1970-01-01,"Fischer, Robert James","Rossetto, Hector",1-0,,,"Fischer, Robert James","Rossetto, Hector"
651,Buenos Aires,Buenos Aires,1970-01-01,"Szabo, Laszlo","Fischer, Robert James",0-1,,,"Fischer, Robert James","Szabo, Laszlo"
652,Buenos Aires,Buenos Aires,1970-01-01,"Fischer, Robert James","Bisguier, Arthur Bernard",1-0,,,"Fischer, Robert James","Bisguier, Arthur Bernard"
653,Buenos Aires,Buenos Aires,1970-01-01,"Mecking, Henrique","Fischer, Robert James",1/2-1/2,,,draw,draw
654,Buenos Aires,Buenos Aires,1970-01-01,"Fischer, Robert James","Rubinetti, Jorge A",1-0,,,"Fischer, Robert James","Rubinetti, Jorge A"
655,Buenos Aires,Buenos Aires,1970-01-01,"Reshevsky, Samuel Herman","Fischer, Robert James",1/2-1/2,,,draw,draw
656,Buenos Aires,Buenos Aires,1970-01-01,"Fischer, Robert James","Garcia, Raimundo",1-0,,,"Fischer, Robert James","Garcia, Raimundo"
657,Buenos Aires,Buenos Aires,1970-01-01,"Smyslov, Vassily","Fischer, Robert James",1/2-1/2,,,draw,draw
658,Herceg Novi blitz,Herceg Novi,1970-01-01,"Ivkov, Borislav","Fischer, Robert James",0-1,,,"Fischer, Robert James","Ivkov, Borislav"
659,Herceg Novi blitz,Herceg Novi,1970-01-01,"Fischer, Robert James","Reshevsky, Samuel Herman",1-0,,,"Fischer, Robert James","Reshevsky, Samuel Herman"
660,Herceg Novi blitz,Herceg Novi,1970-01-01,"Fischer, Robert James","Tal, Mihail",1-0,,,"Fischer, Robert James","Tal, Mihail"
661,Herceg Novi blitz,Herceg Novi,1970-01-01,"Fischer, Robert James","Uhlmann, Wolfgang",1-0,,,"Fischer, Robert James","Uhlmann, Wolfgang"
662,Herceg Novi blitz,Herceg Novi,1970-01-01,"Hort, Vlastimil","Fischer, Robert James",0-1,,,"Fischer, Robert James","Hort, Vlastimil"
663,Herceg Novi blitz,Herceg Novi,1970-01-01,"Matulovic, Milan","Fischer, Robert James",0-1,,,"Fischer, Robert James","Matulovic, Milan"
664,Herceg Novi blitz,Herceg Novi,1970-01-01,"Ostojic, Predrag","Fischer, Robert James",0-1,,,"Fischer, Robert James","Ostojic, Predrag"
665,Herceg Novi blitz,Herceg Novi,1970-01-01,"Fischer, Robert James","Smyslov, Vassily",1-0,,,"Fischer, Robert James","Smyslov, Vassily"
666,Herceg Novi blitz,Herceg Novi,1970-01-01,"Kortschnoj, Viktor","Fischer, Robert James",0-1,,,"Fischer, Robert James","Kortschnoj, Viktor"
667,Herceg Novi blitz,Herceg Novi,1970-01-01,"Uhlmann, Wolfgang","Fischer, Robert James",1/2-1/2,,,draw,draw
668,Herceg Novi blitz,Herceg Novi,1970-01-01,"Fischer, Robert James","Bronstein, David I",1/2-1/2,,,draw,draw
669,Herceg Novi blitz,Herceg Novi,1970-01-01,"Fischer, Robert James","Hort, Vlastimil",1/2-1/2,,,draw,draw
670,Herceg Novi blitz,Herceg Novi,1970-01-01,"Tal, Mihail","Fischer, Robert James",0-1,,,"Fischer, Robert James","Tal, Mihail"
671,Herceg Novi blitz,Herceg Novi,1970-01-01,"Smyslov, Vassily","Fischer, Robert James",0-1,,,"Fischer, Robert James","Smyslov, Vassily"
672,Herceg Novi blitz,Herceg Novi,1970-01-01,"Reshevsky, Samuel Herman","Fischer, Robert James",1/2-1/2,,,draw,draw
673,Herceg Novi blitz,Herceg Novi,1970-01-01,"Fischer, Robert James","Ivkov, Borislav",1-0,,,"Fischer, Robert James","Ivkov, Borislav"
674,Herceg Novi blitz,Herceg Novi,1970-01-01,"Fischer, Robert James","Kortschnoj, Viktor",0-1,,,"Kortschnoj, Viktor","Fischer, Robert James"
675,Herceg Novi blitz,Herceg Novi,1970-01-01,"Fischer, Robert James","Matulovic, Milan",1-0,,,"Fischer, Robert James","Matulovic, Milan"
676,Herceg Novi blitz,Herceg Novi,1970-01-01,"Fischer, Robert James","Ostojic, Predrag",1-0,,,"Fischer, Robert James","Ostojic, Predrag"
677,Herceg Novi blitz,Herceg Novi,1970-01-01,"Petrosian, Tigran V","Fischer, Robert James",0-1,,,"Fischer, Robert James","Petrosian, Tigran V"
678,Herceg Novi blitz,Herceg Novi,1970-01-01,"Bronstein, David I","Fischer, Robert James",0-1,,,"Fischer, Robert James","Bronstein, David I"
679,Herceg Novi blitz,Herceg Novi,1970-01-01,"Fischer, Robert James","Petrosian, Tigran V",1-0,,,"Fischer, Robert James","Petrosian, Tigran V"
680,Palma de Mallorca Interzonal,Palma de Mallorca,1970-01-01,"Fischer, Robert James","Huebner, Robert",1/2-1/2,,,draw,draw
681,Palma de Mallorca Interzonal,Palma de Mallorca,1970-01-01,"Smyslov, Vassily","Fischer, Robert James",0-1,,,"Fischer, Robert James","Smyslov, Vassily"
682,Palma de Mallorca Interzonal,Palma de Mallorca,1970-01-01,"Fischer, Robert James","Addison, William",1-0,,,"Fischer, Robert James","Addison, William"
683,Palma de Mallorca Interzonal,Palma de Mallorca,1970-01-01,"Fischer, Robert James","Filip, Miroslav",1-0,,,"Fischer, Robert James","Filip, Miroslav"
684,Palma de Mallorca Interzonal,Palma de Mallorca,1970-01-01,"Hort, Vlastimil","Fischer, Robert James",0-1,,,"Fischer, Robert James","Hort, Vlastimil"
685,Palma de Mallorca Interzonal,Palma de Mallorca,1970-01-01,"Reshevsky, Samuel Herman","Fischer, Robert James",0-1,,,"Fischer, Robert James","Reshevsky, Samuel Herman"
686,Palma de Mallorca Interzonal,Palma de Mallorca,1970-01-01,"Fischer, Robert James","Matulovic, Milan",1/2-1/2,,,draw,draw
687,Palma de Mallorca Interzonal,Palma de Mallorca,1970-01-01,"Naranja, Renato","Fischer, Robert James",1/2-1/2,,,draw,draw
688,Palma de Mallorca Interzonal,Palma de Mallorca,1970-01-01,"Fischer, Robert James","Larsen, Bent",0-1,,,"Larsen, Bent","Fischer, Robert James"
689,Palma de Mallorca Interzonal,Palma de Mallorca,1970-01-01,"Portisch, Lajos","Fischer, Robert James",1/2-1/2,,,draw,draw
690,Palma de Mallorca Interzonal,Palma de Mallorca,1970-01-01,"Fischer, Robert James","Polugaevsky, Lev",1/2-1/2,,,draw,draw
691,Palma de Mallorca Interzonal,Palma de Mallorca,1970-01-01,"Geller, Efim P","Fischer, Robert James",0-1,,,"Fischer, Robert James","Geller, Efim P"
692,Palma de Mallorca Interzonal,Palma de Mallorca,1970-01-01,"Fischer, Robert James","Ivkov, Borislav",1-0,,,"Fischer, Robert James","Ivkov, Borislav"
693,Palma de Mallorca Interzonal,Palma de Mallorca,1970-01-01,"Minic, Dragoljub","Fischer, Robert James",0-1,,,"Fischer, Robert James","Minic, Dragoljub"
694,Palma de Mallorca Interzonal,Palma de Mallorca,1970-01-01,"Fischer, Robert James","Jimenez Zerquera, Eleazar",1/2-1/2,,,draw,draw
695,Palma de Mallorca Interzonal,Palma de Mallorca,1970-01-01,"Ujtumen, Tudev","Fischer, Robert James",1/2-1/2,,,draw,draw
696,Palma de Mallorca Interzonal,Palma de Mallorca,1970-01-01,"Fischer, Robert James","Rubinetti, Jorge A",1-0,,,"Fischer, Robert James","Rubinetti, Jorge A"
697,Palma de Mallorca Interzonal,Palma de Mallorca,1970-01-01,"Uhlmann, Wolfgang","Fischer, Robert James",0-1,,,"Fischer, Robert James","Uhlmann, Wolfgang"
698,Palma de Mallorca Interzonal,Palma de Mallorca,1970-01-01,"Fischer, Robert James","Taimanov, Mark E",1-0,,,"Fischer, Robert James","Taimanov, Mark E"
699,Palma de Mallorca Interzonal,Palma de Mallorca,1970-01-01,"Suttles, Duncan","Fischer, Robert James",0-1,,,"Fischer, Robert James","Suttles, Duncan"
700,Palma de Mallorca Interzonal,Palma de Mallorca,1970-01-01,"Fischer, Robert James","Mecking, Henrique",1-0,,,"Fischer, Robert James","Mecking, Henrique"
701,Palma de Mallorca Interzonal,Palma de Mallorca,1970-01-01,"Gligoric, Svetozar","Fischer, Robert James",0-1,,,"Fischer, Robert James","Gligoric, Svetozar"
702,Palma de Mallorca Interzonal,Palma de Mallorca,1970-01-01,"Fischer, Robert James","Panno, Oscar",1-0,,,"Fischer, Robert James","Panno, Oscar"
703,Siegen olm,Siegen,1970-01-01,"Fischer, Robert James","Andersson, Ulf",1-0,,,"Fischer, Robert James","Andersson, Ulf"
704,Siegen olm,Siegen,1970-01-01,"Miyasaki, Yukio","Fischer, Robert James",0-1,,,"Fischer, Robert James","Miyasaki, Yukio"
705,Siegen olm,Siegen,1970-01-01,"Fischer, Robert James","Camara, Helder",1-0,,,"Fischer, Robert James","Camara, Helder"
706,Siegen olm,Siegen,1970-01-01,"Acevedo, Armando","Fischer, Robert James",0-1,,,"Fischer, Robert James","Acevedo, Armando"
707,Siegen olm,Siegen,1970-01-01,"Fischer, Robert James","Hook, William",1-0,,,"Fischer, Robert James","Hook, William"
708,Siegen olm,Siegen,1970-01-01,"Fischer, Robert James","Ibrahimoglu, Ismet",1-0,,,"Fischer, Robert James","Ibrahimoglu, Ismet"
709,Siegen olm,Siegen,1970-01-01,"Uhlmann, Wolfgang","Fischer, Robert James",1/2-1/2,,,draw,draw
710,Siegen olm,Siegen,1970-01-01,"Gheorghiu, Florin","Fischer, Robert James",1/2-1/2,,,draw,draw
711,Siegen olm,Siegen,1970-01-01,"Fischer, Robert James","Najdorf, Miguel",1-0,,,"Fischer, Robert James","Najdorf, Miguel"
712,Siegen olm,Siegen,1970-01-01,"Spassky, Boris V","Fischer, Robert James",1-0,,,"Spassky, Boris V","Fischer, Robert James"
713,Siegen olm,Siegen,1970-01-01,"Fischer, Robert James","Unzicker, Wolfgang",1-0,,,"Fischer, Robert James","Unzicker, Wolfgang"
714,Siegen olm,Siegen,1970-01-01,"Gligoric, Svetozar","Fischer, Robert James",0-1,,,"Fischer, Robert James","Gligoric, Svetozar"
715,Siegen olm,Siegen,1970-01-01,"Fischer, Robert James","Hort, Vlastimil",1/2-1/2,,,draw,draw
716,Siegen olm,Siegen,1970-01-01,"Portisch, Lajos","Fischer, Robert James",1/2-1/2,,,draw,draw
717,Solingen sim,Solingen,1970-01-01,"Fischer, Robert James","Christoph, Manfred",0-1,,,"Christoph, Manfred","Fischer, Robert James"
718,USA sim,?,1970-01-01,"Fischer, Robert James",NN,0-1,,,NN,"Fischer, Robert James"
719,Rovinj/Zagreb,Zagreb,1970-01-01,"Parma, Bruno","Fischer, Robert James",0-1,,,"Fischer, Robert James","Parma, Bruno"
720,Rovinj/Zagreb,Zagreb,1970-01-01,"Fischer, Robert James","Nicevski, Risto",1-0,,,"Fischer, Robert James","Nicevski, Risto"
721,Rovinj/Zagreb,Zagreb,1970-01-01,"Minic, Dragoljub","Fischer, Robert James",0-1,,,"Fischer, Robert James","Minic, Dragoljub"
722,Rovinj/Zagreb,Zagreb,1970-01-01,"Fischer, Robert James","Marovic, Drazen",1-0,,,"Fischer, Robert James","Marovic, Drazen"
723,Rovinj/Zagreb,Zagreb,1970-01-01,"Ivkov, Borislav","Fischer, Robert James",1/2-1/2,,,draw,draw
724,Rovinj/Zagreb,Zagreb,1970-01-01,"Fischer, Robert James","Uhlmann, Wolfgang",1-0,,,"Fischer, Robert James","Uhlmann, Wolfgang"
725,Rovinj/Zagreb,Zagreb,1970-01-01,"Ghitescu, Theodor","Fischer, Robert James",0-1,,,"Fischer, Robert James","Ghitescu, Theodor"
726,Rovinj/Zagreb,Zagreb,1970-01-01,"Fischer, Robert James","Kovacevic, Vlatko",0-1,,,"Kovacevic, Vlatko","Fischer, Robert James"
727,Rovinj/Zagreb,Zagreb,1970-01-01,"Smyslov, Vassily","Fischer, Robert James",1/2-1/2,,,draw,draw
728,Rovinj/Zagreb,Zagreb,1970-01-01,"Fischer, Robert James","Gligoric, Svetozar",1-0,,,"Fischer, Robert James","Gligoric, Svetozar"
729,Rovinj/Zagreb,Zagreb,1970-01-01,"Kurajica, Bojan","Fischer, Robert James",0-1,,,"Fischer, Robert James","Kurajica, Bojan"
730,Rovinj/Zagreb,Zagreb,1970-01-01,"Fischer, Robert James","Udovcic, Mijo",1-0,,,"Fischer, Robert James","Udovcic, Mijo"
731,Rovinj/Zagreb,Zagreb,1970-01-01,"Hort, Vlastimil","Fischer, Robert James",1/2-1/2,,,draw,draw
732,Rovinj/Zagreb,Zagreb,1970-01-01,"Fischer, Robert James","Bertok, Mario",1-0,,,"Fischer, Robert James","Bertok, Mario"
733,Rovinj/Zagreb,Zagreb,1970-01-01,"Browne, Walter S","Fischer, Robert James",1/2-1/2,,,draw,draw
734,Rovinj/Zagreb,Zagreb,1970-01-01,"Fischer, Robert James","Kortschnoj, Viktor",1/2-1/2,,,draw,draw
735,Rovinj/Zagreb,Zagreb,1970-01-01,"Petrosian, Tigran V","Fischer, Robert James",1/2-1/2,,,draw,draw
736,Buenos Aires sim,Buenos Aires,1971-01-01,"Fischer, Robert James","Rubinstein, Jose",0-1,,,"Rubinstein, Jose","Fischer, Robert James"
737,Buenos Aires,Buenos Aires,1971-01-01,"Fischer, Robert James","Szmetan, Jorge",1/2-1/2,,,draw,draw
738,Candidats final,Buenos Aires,1971-01-01,"Fischer, Robert James","Petrosian, Tigran V",1-0,2760.0,2640.0,"Fischer, Robert James","Petrosian, Tigran V"
