game_id,game_order,event,site,date_played,round,white,black,result,white_elo,black_elo,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,date_created,file_name
e99d68bd-6f48-4c50-8889-f2054e0561c4,23,Caribbean op,Port of Spain,1999.01.15,5,"Nakamura, Hikaru","Resende, Antonio Carlos",1/2-1/2,,2365,draw,,draw,,0,B09,2022-07-15T18:12:54+0000,Nakamura.pgn
405eac31-d405-42fc-b22c-1527c8aca643,24,World op,Philadelphia,1999.06.28,2,"Amador, Sergio Jose","Nakamura, Hikaru",0-1,2280,,"Nakamura, Hikaru",,"Amador, Sergio Jose",2280,0,A02,2022-07-15T18:12:54+0000,Nakamura.pgn
3728e848-a3de-471b-a97f-bae3a252810b,25,World op,Philadelphia,1999.06.30,4,"David, Alberto","Nakamura, Hikaru",1-0,2530,,"David, Alberto",2530,"Nakamura, Hikaru",,0,B92,2022-07-15T18:12:54+0000,Nakamura.pgn
37eb514e-a0a0-465f-930f-b34ea649b109,26,Financial Concept Open 6th,North Bay,1999.08.04,2,"Nakamura, Hikaru","Paschall, William M",1/2-1/2,2204,2332,draw,,draw,,0,B65,2022-07-15T18:12:54+0000,Nakamura.pgn
85b4f472-2662-4e8e-8526-94bbecfdc520,27,Financial Concept Open 6th,North Bay,1999.08.05,3,"Hebert, Jean","Nakamura, Hikaru",1-0,2454,2204,"Hebert, Jean",2454,"Nakamura, Hikaru",2204,250,E94,2022-07-15T18:12:54+0000,Nakamura.pgn
329f5a01-8e90-443b-bce2-3d171b99f92b,28,Financial Concept Open 6th,North Bay,1999.08.05,4,"Nakamura, Hikaru","Rajlich, Vasik G",1-0,2204,2297,"Nakamura, Hikaru",2204,"Rajlich, Vasik G",2297,-93,B90,2022-07-15T18:12:54+0000,Nakamura.pgn
11611384-2713-4e44-90ac-35e98055db4f,29,Financial Concept Open 6th,North Bay,1999.08.06,5,"Taylor, Gordon","Nakamura, Hikaru",1-0,2301,2204,"Taylor, Gordon",2301,"Nakamura, Hikaru",2204,97,E74,2022-07-15T18:12:54+0000,Nakamura.pgn
1c7721a1-1f44-4251-8eb0-c96b3cfa4683,30,Financial Concept Open 6th,North Bay,1999.08.06,6,"Nakamura, Hikaru","Baragar, Fletcher",0-1,2204,2305,"Baragar, Fletcher",2305,"Nakamura, Hikaru",2204,101,C17,2022-07-15T18:12:54+0000,Nakamura.pgn
50073f90-85eb-42c9-accb-10c55a940c3c,31,Financial Concept Open 6th,North Bay,1999.08.07,7,"Stroud, Mike","Nakamura, Hikaru",0-1,,2204,"Nakamura, Hikaru",2204,"Stroud, Mike",,0,E92,2022-07-15T18:12:54+0000,Nakamura.pgn
a8b0bfd1-4946-430d-bad9-0ae7a0b4619b,32,Financial Concept Open 6th,North Bay,1999.08.08,9,"Glinert, Stephen","Nakamura, Hikaru",1/2-1/2,2191,2204,draw,,draw,,0,B26,2022-07-15T18:12:54+0000,Nakamura.pgn
